              RECOGNITION PLOT  RAW DATA [sec]
scene	<2-2>	<2_4>	<2_6>	<4_2>	<4_4>	<4_6>	<6_2>	<6_4>	<6_6>
1	1,3	3,0	7,3	2,5	9,4	15,9	4,8	12,6	20,9
2	1,3	3,1	7,3	2,5	9,4	16,6	5,0	7,9	20,5
3	1,4	3,2	7,1	2,5	9,6	16,7	4,9	7,9	20,4
4	1,3	3,3	7,3	2,5	10,1	15,9	5,0	7,9	20,4
5	1,4	3,3	7,7	2,8	9,9	16,5	4,6	7,8	21,3
6	1,6	3,5	8,0	2,8	10,7	16,8	4,9	8,2	21,5
7	1,7	3,8	8,1	3,0	9,5	17,1	5,9	8,4	21,9
8	2,0	4,0	8,3	3,1	10,3	17,8	5,6	8,7	23,0
9	2,2	4,3	8,6	3,5	10,6	19,0	6,1	9,4	23,6
10	2,4	4,6	9,1	3,9	11,9	18,6	6,5	9,8	26,5
11	2,8	5,3	9,9	4,4	12,0	22,8	7,1	10,5	26,5
12	3,4	5,9	11,2	4,7	13,3	24,1	6,9	11,5	27,9
13	3,9	6,7	13,7	5,5	15,8	22,1	8,1	13,9	29,3
14	4,6	7,9	14,4	6,6	17,3	25,4	9,2	16,2	29,5
15	6,1	9,3	15,6	8,3	18,6	27,8	11,3	18,7	32,3
16	6,9	10,7	15,9	9,8	21,7	32,2	12,9	20,0	35,8
17	9,0	12,3	18,4	11,4	22,6	36,1	15,3	22,4	37,0



              LEARNING PLOT  RAW DATA [sec]
scene	<2-2>	<2_4>	<2_6>	<4_2>	<4_4>	<4_6>	<6_2>	<6_4>	<6_6>
1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
2	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1
3	0,2	0,1	0,1	0,2	0,3	0,2	0,2	0,3	0,2
4	0,5	0,4	0,3	0,5	0,6	0,5	0,6	0,7	0,6
5	1,2	1,0	0,8	1,3	1,4	1,3	1,4	1,6	1,4
6	2,6	1,9	1,6	2,7	2,7	2,5	2,6	3,1	2,9
7	5,1	3,8	3,0	4,8	5,2	4,3	5,6	5,7	4,9
8	8,6	6,7	5,6	8,0	9,7	7,7	9,8	10,9	8,8
9	12,5	11,1	8,9	13,0	16,0	13,3	16,8	17,6	14,7
10	18,5	17,3	15,6	20,5	26,2	22,1	25,1	29,4	24,5
11	28,8	25,8	24,5	31,2	41,7	32,1	37,9	45,7	40,4
12	38,6	39,4	37,3	44,4	61,0	53,7	52,8	68,1	57,9
13	55,6	55,2	53,7	63,2	95,1	74,5	73,5	99,6	87,2
14	76,2	78,9	77,4	90,6	126,0	108,8	109,8	146,0	127,0
15	104,9	110,1	104,5	123,2	168,8	158,1	149,6	213,9	178,8
16	107,9	144,4	135,5	165,8	233,8	221,3	219,0	294,3	239,6
17	191	196,8	182,5	222,3	336,5	314,9	296	390,6	343,5
18	251	259	251	288	437	437	381	504,9	452

