id,concepts,relations,elements,role,scene,encoding&recognition [ms],learning&structuring [ms]
1625760793225,2,2,4,6,1,97,0
1625760793592,4,2,4,6,1,192,2
1625760793618,2,4,4,7,1,211,0
1625760793725,6,2,4,6,1,275,0
1625760793928,2,2,4,6,2,354,39
1625760794157,2,6,4,7,1,278,0
1625760794424,4,4,4,8,1,335,0
1625760794893,4,2,4,6,2,559,39
1625760794934,2,8,4,8,1,349,1
1625760795078,2,2,4,6,3,320,432
1625760795181,6,4,4,9,1,619,0
1625760795338,2,4,4,8,2,693,28
1625760795553,6,2,4,6,2,923,39
1625760795611,4,6,4,7,1,552,1
1625760796281,4,2,4,6,3,627,158
1625760796437,2,2,4,6,4,285,696
1625760796622,6,6,4,8,1,814,0
1625760796691,4,8,4,7,1,642,0
1625760796831,2,6,4,7,2,1665,40
1625760796850,2,4,4,6,3,779,95
1625760797499,4,4,4,7,2,1582,36
1625760797528,6,2,4,6,3,848,105
1625760797998,4,2,4,6,4,544,348
1625760798123,8,6,4,9,1,1116,1
1625760798428,2,2,4,6,5,367,1240
1625760798568,2,8,4,8,2,1728,37
1625760799102,2,4,4,8,4,952,382
1625760799213,6,4,4,6,2,1895,71
1625760799634,2,6,4,7,3,1394,132
1625760800037,6,2,4,6,4,1108,261
1625760800058,6,8,4,7,1,1911,0
1625760800098,4,2,4,6,5,616,567
1625760800578,4,6,4,7,2,2560,43
1625760800624,8,8,4,7,1,1702,0
1625760800665,4,4,4,6,3,1410,154
1625760801411,2,4,4,7,5,938,625
1625760801637,2,2,4,6,6,404,2291
1625760802519,2,6,4,8,4,1209,247
1625760802551,6,2,4,6,5,783,495
1625760802595,2,8,4,8,3,1907,145
1625760802783,4,2,4,6,6,595,1154
1625760804066,6,4,4,6,3,2121,200
1625760804350,4,8,4,8,2,3600,48
1625760804394,6,6,4,8,2,3762,33
1625760804424,4,4,4,7,4,1707,333
1625760804591,2,4,4,6,6,1046,1455
1625760805365,6,2,4,6,6,1313,717
1625760805817,2,6,4,8,5,1605,507
1625760805849,4,6,4,9,3,2936,173
